"","Symbol","industry"
"1","YI","Pharmaceutical Retailers"
"2","PIH","Insurance - Property &amp; Casualty"
"3","PIHPP","Insurance - Property &amp; Casualty"
"4","TURN","Asset Management"
"5","FLWS","Specialty Retail"
"6","BCOW","Banks - Regional - US"
"7","FCCY","Banks - Regional - US"
"8","SRCE","Banks - Regional - US"
"9","VNET","Information Technology Services"
"10","TWOU","Software - Infrastructure"
"11","QFIN","Credit Services"
"12","TPNL","Business Services"
"13","JOBS","Staffing &amp; Outsourcing Services"
"14","EGHT","Telecom Services"
"15","AAON","Building Materials"
"16","ABEO","Biotechnology"
"17","ABEOW",NA
"18","ABIL","Communication Equipment"
"19","ABMD","Medical Devices"
"20","AXAS","Oil &amp; Gas E&amp;P"
"21","ACIU","Biotechnology"
"22","ACIA","Communication Equipment"
"23","ACTG","Business Services"
"24","ACHC","Medical Care"
"25","ACAD","Biotechnology"
"26","ACAMU","Conglomerates"
"27","ACST","Biotechnology"
"28","AXDX","Diagnostics &amp; Research"
"29","XLRN","Biotechnology"
"30","ARAY","Medical Devices"
"31","ACRX","Medical Devices"
"32","ACER","Biotechnology"
"33","ACET","Drug Manufacturers - Specialty &amp; Generic"
"34","AKAO","Biotechnology"
"35","ACHV","Biotechnology"
"36","ACHN","Biotechnology"
"37","ACIW","Software - Application"
"38","ACRS","Biotechnology"
"39","ACMR","Semiconductor Equipment &amp; Materials"
"40","ACNB","Banks - Regional - US"
"41","ACOR","Biotechnology"
"42","ATVI","Electronic Gaming &amp; Multimedia"
"43","ADMS","Drug Manufacturers - Specialty &amp; Generic"
"44","ADMP","Drug Manufacturers - Specialty &amp; Generic"
"45","ADAP","Biotechnology"
"46","ADUS","Medical Care"
"47","AEY","Electronics Distribution"
"48","IOTS","Semiconductor Memory"
"49","ADIL","Biotechnology"
"50","ADILW",NA
"51","ADMA","Biotechnology"
"52","ADBE","Software - Application"
"53","ADOM","Auto Parts"
"54","ADTN","Communication Equipment"
"55","ADRO","Biotechnology"
"56","ADES","Pollution &amp; Treatment Controls"
"57","AEIS","Electronic Components"
"58","AMD","Semiconductors"
"59","ADXS","Biotechnology"
"60","ADVM","Biotechnology"
"61","DWMC",NA
"62","DWSH",NA
"63","BKCH",NA
"64","ACT",NA
"65","AEGN","Engineering &amp; Construction"
"66","AGLE","Biotechnology"
"67","AEHR","Semiconductor Equipment &amp; Materials"
"68","AMTX","Specialty Chemicals"
"69","AERI","Drug Manufacturers - Major"
"70","AVAV","Aerospace &amp; Defense"
"71","ARPO","Biotechnology"
"72","AEZS","Biotechnology"
"73","AEMD","Scientific &amp; Technical Instruments"
"74","GNMX","Biotechnology"
"75","AFMD","Biotechnology"
"76","AGEN","Biotechnology"
"77","AGRX","Drug Manufacturers - Specialty &amp; Generic"
"78","AGYS","Software - Application"
"79","AGIO","Biotechnology"
"80","AGMH","Software - Application"
"81","AGNC","REIT - Residential"
"82","AGNCB","REIT - Residential"
"83","AGNCM","REIT - Residential"
"84","AGNCN","REIT - Residential"
"85","AGFS","Agricultural Inputs"
"86","AGFSW",NA
"87","ALRN","Biotechnology"
"88","AIMT","Biotechnology"
"89","AIRT","Integrated Shipping &amp; Logistics"
"90","ATSG","Airports &amp; Air Services"
"91","AIRG","Communication Equipment"
"92","AMCN","Marketing Services"
"93","AKAM","Software - Application"
"94","AKTX","Biotechnology"
"95","AKCA","Biotechnology"
"96","AKBA","Biotechnology"
"97","AKER","Medical Instruments &amp; Supplies"
"98","AKRX","Drug Manufacturers - Specialty &amp; Generic"
"99","AKTS","Communication Equipment"
"100","ALRM","Software - Application"
"101","ALSK","Telecom Services"
"102","ALAC","Conglomerates"
"103","ALACR",NA
"104","ALACU","Conglomerates"
"105","ALACW",NA
"106","ALBO","Biotechnology"
"107","ABDC","Asset Management"
"108","ALDR","Biotechnology"
"109","ALDX","Biotechnology"
"110","ALEC","Biotechnology"
"111","ALXN","Biotechnology"
"112","ALCO","Farm Products"
"113","ALIT",NA
"114","ALGN","Medical Devices"
"115","ALIM","Drug Manufacturers - Major"
"116","ALYA","Information Technology Services"
"117","ALJJ","Business Services"
"118","ALKS","Biotechnology"
"119","ALLK","Biotechnology"
"120","ABTX","Banks - Regional - US"
"121","ALGT","Airlines"
"122","ALGR","Conglomerates"
"123","ALGRR",NA
"124","ALGRU","Conglomerates"
"125","ALGRW",NA
"126","ALNA","Biotechnology"
"127","ARLP","Coal"
"128","LNT","Utilities - Regulated Electric"
"129","AHPI","Medical Devices"
"130","AMOT","Electronic Components"
"131","ALQA","Drug Manufacturers - Major"
"132","ALLO","Biotechnology"
"133","ALLT","Communication Equipment"
"134","MDRX","Software - Application"
"135","ALNY","Biotechnology"
"136","AOSL","Semiconductors"
"137","GOOG","Internet Content &amp; Information"
"138","GOOGL","Internet Content &amp; Information"
"139","SMCP",NA
"140","ATEC","Medical Instruments &amp; Supplies"
"141","ALPN","Biotechnology"
"142","AMR","Conglomerates"
"143","AMRWW",NA
"144","AABA","Asset Management"
"145","ALTR","Software - Infrastructure"
"146","ALT","Biotechnology"
"147","ASPS","Business Services"
"148","AIMC","Diversified Industrials"
"149","ALTM","Oil &amp; Gas Midstream"
"150","AMAG","Biotechnology"
"151","AMAL","Banks - Regional - US"
"152","AMRN","Biotechnology"
"153","AMRK","Capital Markets"
"154","AMZN","Specialty Retail"
"155","AMBC","Insurance - Specialty"
"156","AMBCW",NA
"157","AMBA","Semiconductor Equipment &amp; Materials"
"158","AMCX","Broadcasting - TV"
"159","AMCI","Conglomerates"
"160","AMCIU","Conglomerates"
"161","AMCIW",NA
"162","DOX","Software - Infrastructure"
"163","AMED","Medical Care"
"164","UHAL","Rental &amp; Leasing Services"
"165","AMRH","Information Technology Services"
"166","AMRHW",NA
"167","ATAX","Specialty Finance"
"168","AMOV","Telecom Services"
"169","AAL","Airlines"
"170","AETI","Diversified Industrials"
"171","AFIN","REIT - Diversified"
"172","AMNB","Banks - Regional - US"
"173","ANAT","Insurance - Property &amp; Casualty"
"174","AOBC","Aerospace &amp; Defense"
"175","APEI","Education &amp; Training Services"
"176","AREC","Coal"
"177","AMRB","Banks - Regional - US"
"178","AMSWA","Software - Application"
"179","AMSC","Electronic Components"
"180","AMWD","Home Furnishings &amp; Fixtures"
"181","CRMT","Auto &amp; Truck Dealerships"
"182","ABCB","Banks - Regional - US"
"183","AMSF","Insurance - Property &amp; Casualty"
"184","ASRV","Banks - Regional - US"
"185","ASRVP",NA
"186","ATLO","Banks - Regional - US"
"187","AMGN","Drug Manufacturers - Major"
"188","FOLD","Biotechnology"
"189","AMKR","Semiconductors"
"190","AMPH","Drug Manufacturers - Specialty &amp; Generic"
"191","IBUY",NA
"192","ASYS","Semiconductor Equipment &amp; Materials"
"193","AMRS","Specialty Chemicals"
"194","ADI","Semiconductors"
"195","ANAB","Biotechnology"
"196","AVXL","Biotechnology"
"197","ANCN","Biotechnology"
"198","ANDA","Conglomerates"
"199","ANDAR",NA
"200","ANDAU","Conglomerates"
"201","ANDAW",NA
"202","ANGI","Internet Content &amp; Information"
"203","ANGO","Medical Instruments &amp; Supplies"
"204","ANIP","Biotechnology"
"205","ANIK","Biotechnology"
"206","ANIX","Diagnostics &amp; Research"
"207","ANSS","Software - Application"
