"","Symbol","industry"
"1","DDD","Computer Systems"
"2","MMM","Diversified Industrials"
"3","WBAI","Gambling"
"4","WUBA","Internet Content & Information"
"5","EGHT","Telecom Services"
"6","AHC","Publishing"
"7","AOS","Diversified Industrials"
"8","ATEN","Software - Infrastructure"
"9","AAC","Medical Care"
"10","AIR","Aerospace & Defense"
"11","AAN","Rental & Leasing Services"
"12","ABB","Diversified Industrials"
"13","ABT","Medical Devices"
"14","ABBV","Drug Manufacturers - Major"
"15","ANF","Apparel Stores"
"16","AGD","Asset Management"
"17","AWP","Asset Management"
"18","ACP","Asset Management"
"19","JEQ","Asset Management"
"20","AOD","Asset Management"
"21","ABM","Business Services"
"22","AKR","REIT - Retail"
"23","ACN","Information Technology Services"
"24","ACCO","Business Equipment"
"25","ATV","Specialty Retail"
"26","ATU","Diversified Industrials"
"27","AYI","Electronic Components"
"28","GOLF","Leisure"
"29","ADX","Asset Management"
"30","PEO","Asset Management"
"31","AGRO","Farm Products"
"32","ADNT","Auto Parts"
"33","ADT","Security & Protection Services"
"34","ATGE","Education & Training Services"
"35","AAP","Specialty Retail"
"36","ADSW","Waste Management"
"37","WMS","Rubber & Plastics"
"38","ASIX","Chemicals"
"39","AVK","Asset Management"
"40","ACM","Engineering & Construction"
"41","AEB",NA
"42","AED",NA
"43","AEG","Insurance - Diversified"
"44","AEH",NA
"45","AER","Airports & Air Services"
"46","HIVE","Communication Equipment"
"47","AJRD","Aerospace & Defense"
"48","AMG","Asset Management"
"49","AFL","Insurance - Life"
"50","MITT","REIT - Diversified"
"51","MITT^A",NA
"52","MITT^B",NA
"53","AGCO","Farm & Construction Equipment"
"54","A","Diagnostics & Research"
"55","AEM","Gold"
"56","ADC","REIT - Retail"
"57","AL","Rental & Leasing Services"
"58","AL^A",NA
"59","APD","Chemicals"
"60","AYR","Rental & Leasing Services"
"61","AKS","Steel"
"62","ALP^Q",NA
"63","ALG","Farm & Construction Equipment"
"64","AGI","Gold"
"65","ALK","Airlines"
"66","AIN","Textile Manufacturing"
"67","ALB","Specialty Chemicals"
"68","AA","Aluminum"
"69","ALEX","REIT - Diversified"
"70","ALX","REIT - Retail"
"71","ARE","REIT - Office"
"72","ARE^D",NA
"73","AQN","Utilities - Independent Power Producers"
"74","AQNA",NA
"75","BABA","Specialty Retail"
"76","Y","Insurance - Property & Casualty"
"77","ATI","Metal Fabrication"
"78","ALLE","Security & Protection Services"
"79","AGN","Drug Manufacturers - Specialty & Generic"
"80","ALE","Utilities - Regulated Electric"
"81","AKP","Asset Management"
"82","ADS","Credit Services"
"83","AFB","Asset Management"
"84","AWF","Asset Management"
"85","AB","Asset Management"
"86","CBH","Asset Management"
"87","NCV","Asset Management"
"88","NCV^A",NA
"89","NCZ","Asset Management"
"90","NCZ^A",NA
"91","ACV","Asset Management"
"92","NIE","Asset Management"
"93","NFJ","Asset Management"
"94","ALSN","Auto Parts"
"95","ALL","Insurance - Property & Casualty"
"96","ALL^A",NA
"97","ALL^B",NA
"98","ALL^D",NA
"99","ALL^E",NA
"100","ALL^F",NA
"101","ALL^G",NA
"102","ALLY","Specialty Finance"
"103","ALLY^A",NA
"104","AYX","Software - Application"
"105","ATUS","Telecom Services"
"106","MO","Tobacco"
"107","ACH","Aluminum"
"108","AMBR","Software - Application"
"109","ABEV","Beverages - Brewers"
"110","AMC","Media - Diversified"
"111","AEE","Utilities - Regulated Electric"
"112","AMRC","Engineering & Construction"
"113","AMOV","Telecom Services"
"114","AMX","Telecom Services"
"115","AAT","REIT - Retail"
"116","AXL","Auto Parts"
"117","ACC","REIT - Residential"
"118","AEO","Apparel Stores"
"119","AEP","Utilities - Regulated Electric"
"120","AEP^B",NA
"121","AEL","Insurance - Life"
"122","AXP","Credit Services"
"123","AFG","Insurance - Property & Casualty"
"124","AFGB",NA
"125","AFGE",NA
"126","AFGH",NA
"127","AMH","REIT - Residential"
"128","AMH^D",NA
"129","AMH^E",NA
"130","AMH^F",NA
"131","AMH^G",NA
"132","AMH^H",NA
"133","AIG","Insurance - Diversified"
"134","AIG.WS",NA
"135","AIG^A",NA
"136","AMID","Oil & Gas Midstream"
"137","ARL","Real Estate - General"
"138","ARA","Diagnostics & Research"
"139","AWR","Utilities - Regulated Water"
"140","AMT","Telecom Services"
"141","AVD","Agricultural Inputs"
"142","AWK","Utilities - Regulated Water"
"143","COLD","REIT - Industrial"
"144","APU","Utilities - Regulated Gas"
"145","AMP","Asset Management"
"146","ABC","Medical Distribution"
"147","ANFI","Packaged Foods"
"148","AMN","Medical Care"
"149","AMRX","Drug Manufacturers - Specialty & Generic"
"150","AP","Diversified Industrials"
"151","APH","Electronic Components"
"152","AXR","Business Services"
"153","AME","Diversified Industrials"
"154","APC","Oil & Gas E&P"
"155","PLAN","Software - Infrastructure"
"156","ANDX","Oil & Gas Midstream"
"157","AU","Gold"
"158","BUD","Beverages - Brewers"
"159","AXE","Industrial Distribution"
"160","NLY","REIT - Diversified"
"161","NLY^C",NA
"162","NLY^D",NA
"163","NLY^F",NA
"164","NLY^G",NA
"165","NLY^H",NA
"166","AM","Oil & Gas Pipelines"
"167","AR","Oil & Gas E&P"
"168","ANTM","Health Care Plans"
"169","ANH","REIT - Diversified"
"170","ANH^A",NA
"171","ANH^B",NA
"172","ANH^C",NA
"173","AON","Insurance Brokers"
"174","APA","Oil & Gas E&P"
"175","AIV","REIT - Residential"
"176","AIV^A",NA
"177","APY","Oil & Gas Equipment & Services"
"178","APHA","Drug Manufacturers - Specialty & Generic"
"179","ARI","REIT - Diversified"
"180","ARI^C",NA
"181","APO","Asset Management"
"182","APO^A",NA
"183","APO^B",NA
"184","AIY",NA
"185","AFT","Asset Management"
"186","AIF","Asset Management"
"187","APLE","REIT - Hotel & Motel"
"188","AIT","Industrial Distribution"
"189","ATR","Packaging & Containers"
